"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"01/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"364.259.351,80";"42.403.032,35";"9.613.024,26";"55.772.833,05";
"11/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"24.234.586,65";"73.519.987,18";"61.963.085,56";"1.360.224,80";
"04/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"11.310.706,83";"51.001.067,34";"49.260.194,37";"6.534.188,34";
"08/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"1.068.624,64";"51.859.074,78";"51.485.438,12";"1.995.217,51";
"10/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"55.908.012,94";"52.893.596,41";"51.233.654,79";"4.520.716,11";
"05/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"215.918.224,59";"51.142.638,27";"51.852.354,93";"1.168.486,52";
"03/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"2.115.907,88";"49.379.418,57";"48.534.078,54";"2.724.952,40";
"09/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"14.803.544,18";"51.476.007,49";"52.856.085,40";"1.241.274,61";
"02/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"272.817,88";"48.343.044,31";"48.403.580,35";"5.663.862,08";
"06/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"6.852.370,48";"63.372.795,54";"50.506.860,69";"2.215.740,21";
"07/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"1.570.153,09";"52.746.022,96";"65.213.124,19";"1.800.984,42";
"12/2021";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"17.526.932,07";"79.552.079,32";"68.127.127,61";"1.183.502,43";
