Campus,Nome do curso,Cod.,Área,Fator de Retenção,Turno,Matriculados 1º Sem (2024-1),Matriculados 2º Sem (2024-2),Ingressantes (NI) 1º Sem (2024-1),Ingressantes (NI) 2º Sem (2024-2),Ingressantes (NI) Total,Diplomados (NDI) 1º Sem (2024-1),Diplomados (NDI) 2º Sem (2024-2),Diplomados (NDI) Total,Ingressantes DPC 1º Sem,Ingressantes DPC 2º Sem,Ingressantes DPC Total,Duração Padrão do curso (DPC),1+ Fator de Retenção,Alunos em Tempo Integral (AGTI),Peso do Grupo,Alunos Equivalentes (AGE),TSG
SEROPÉDICA,Administração,11,CSA,0.1200,I,332,326,35,38,73,37,25,62,30,44,74,4,1.12,288.76,1.00,288.76,0.84
SEROPÉDICA,Administração N,61,CSA,0.1200,N,183,178,0,27,27,12,15,27,,32,32,4,1.12,120.96,1.00,120.96,0.84
SEROPÉDICA,Administração Pública,45,CSA,0.1200,N,150,177,34,0,34,3,9,12,45,,45,4,1.12,75.76,1.00,75.76,0.27
SEROPÉDICA,Agronomia,1,CA,0.0500,D,602,598,49,46,95,47,28,75,73,79,152,5,1.05,418.75,2.00,837.50,0.49
SEROPÉDICA,Arquitetura e Urbanismo,25,CSC,0.1200,I,228,234,21,18,39,21,24,45,21,27,48,4,1.12,195.60,1.50,293.40,0.94
SEROPÉDICA,Belas Artes,35,A,0.1150,V,241,222,22,23,45,25,13,38,,12,12,4,1.12,176.48,1.50,264.72,3.17
SEROPÉDICA,Ciências Agrícolas,9,CA,0.0500,I,150,158,29,23,52,2,3,5,38,32,70,4,1.05,68.00,2.00,136.00,0.07
SEROPÉDICA,Ciências Biológicas,17,CB,0.1250,I,265,262,24,26,50,26,20,46,30,26,56,4,1.13,211.00,2.00,422.00,0.82
SEROPÉDICA,Ciências Contábeis,46,CSA,0.1200,N,165,183,32,,32,15,17,32,43,,43,4,1.12,143.36,1.00,143.36,0.74
SEROPÉDICA,Ciências Econômicas,10,CSA,0.1200,M,326,324,39,35,74,36,28,64,44,36,80,4,1.12,296.72,1.00,296.72,0.80
SEROPÉDICA,Ciências Sociais,34,CSA,0.1200,V,293,281,24,28,52,34,24,58,40,33,73,4,1.12,253.84,1.00,253.84,0.79
SEROPÉDICA,Comunicação Social/Jornalismo,47,CSA,0.1200,N,204,172,0,32,32,31,26,57,,39,39,4,1.12,230.36,1.00,230.36,1.46
SEROPÉDICA,Direito,33,CSB,0.1200,N,226,209,41,0,41,22,10,32,35,,35,5,1.12,190.45,1.00,190.45,0.91
SEROPÉDICA,Educação do Campo,90,CSA,0.1200,I,148,162,32,19,51,12,14,26,,0,0,4,1.12,141.48,1.00,141.48,0
SEROPÉDICA,Educação Física,14,CS4,0.0660,I,486,479,50,46,96,32,26,58,60,51,111,4,1.07,285.31,1.50,427.97,0.52
SEROPÉDICA,Engenharia Agrícola,22,ENG,0.0820,I,137,135,13,14,27,,3,11,30,22,52,5,1.08,79.51,2.00,159.02,0.21
SEROPÉDICA,Engenharia de Agrimensura,23,ENG,0.0820,I,164,169,14,19,33,9,2,11,25,30,55,5,1.08,87.01,2.00,174.02,0.20
SEROPÉDICA,Engenharia de Alimentos,21,ENG,0.0820,I,209,202,20,21,41,9,7,16,28,33,61,5,1.08,117.81,2.00,235.62,0.26
