Campus,Nome do curso,Cod.,Área,Fator de Retenção,Turno,Matriculados 1º Sem (2023-1),Matriculados 2º Sem (2023-2),Ingressantes (NI) 1º Sem (2023-1),Ingressantes (NI) 2º Sem (2023-2),Ingressantes (NI) Total,Diplomados (NDI) 1º Sem (2023-1),Diplomados (NDI) 2º Sem (2023-2),Diplomados (NDI) Total,Ingressantes DPC 1º Sem,Ingressantes DPC 2º Sem,Ingressantes DPC Total,Duração Padrão do curso (DPC),1+ Fator de Retenção,Alunos em Tempo Integral (AGTI),Peso do Grupo,Alunos Equivalentes (AGE),TSG
NOVA IGUAÇU,História,70,CH,0.1000,N,306,312,27,32,59,19,19,38,42,35,77,4,1.10,188.20,1.00,188.20,0.49
NOVA IGUAÇU,Letras - Português/Espanhol e Literatura,76,LL,0.1150,M,160,159,19,23,42,12,18,30,27,22,49,4,1.12,145.80,1.00,145.80,0.61
NOVA IGUAÇU,Letras - Português/Literatura,75,LL,0.1150,M,166,171,20,21,41,7,17,24,27,25,52,4,1.12,124.04,1.00,124.04,0.46
NOVA IGUAÇU,Matemática,71,CET,0.1325,N,207,212,23,24,47,18,9,27,43,38,81,4,1.13,142.31,1.50,213.47,0.33
NOVA IGUAÇU,Pedagogia,72,CH,0.1000,N,296,299,25,36,61,38,27,65,44,36,80,4,1.10,282.00,1.00,282.00,0.81
NOVA IGUAÇU,Turismo,73,CSA,0.1200,N,241,262,31,30,61,14,5,19,43,38,81,4,1.12,127.12,1.00,127.12,0.23
TRÊS RIOS,Administração,63,CSA,0.1200,N,229,252,47,1,48,9,9,18,0,59,59,4,1.12,110.64,1.00,110.64,0.31
TRÊS RIOS,Ciências Econômicas,60,CSA,0.1200,N,126,139,33,0,33,6,7,13,0,42,42,4,1.12,78.24,1.00,78.24,0.31
TRÊS RIOS,Direito,66,CSB,0.1200,N,177,209,30,0,30,23,18,41,0,48,48,5,1.12,215.85,1.00,215.85,0.85
TRÊS RIOS,Gestão Ambiental,59,CSA,0.1200,I,93,109,0,20,20,11,9,20,0,42,42,4,1.12,89.60,1.00,89.60,0.48
Total,,,,,,,13163,12933,1109,1465,2574,783,828,1611,1608,2050,3658,,,,,8666.29,,14070.91,0.44
