Matriculados 1 semestre, Matriculados 2 semestre
326,332
183,178
150,177
598,602
228,234
241,222
150,158
265,262
165,183
326,324
293,281
204,172
226,209
162,148
486,479
137,135
164,169
209,202
198,195
337,332
393,403
255,246
128,97
113,121
152,136
170,155
199,216
245,215
173,179
170,170
171,166
252,237
734,739
168,145
200,221
151,145
133,101
274,234
130,152
137,125
407,406
374,351
270,231
342,332
237,219
173,194
326,303
157,152
180,184
227,224
291,271
256,243
254,228
135,120
204,192
100,90

