Campus,Nome do Curso,Cod,Area,Turno,Matriculados 1 Sem (2023-1),Matriculados 2 Sem (2023-1),Matriculados 1 Sem (2023-2),Ingressantes (NI) 1 Sem (2023-1),Ingressantes (NI) 1 Sem (2023-2),Ingressantes (NI) Total,Diplomados (NDI) 1 Sem (2023-1),Diplomados (NDI) 1 Sem (2023-2),Diplomados (NDI) Total,Ingressantes DPC 1 Sem,Ingressantes DPC Total,Duracao do Padrao (DPC),Fator de Retencao (AGTI),Alunos em Tempo Integral,Peso do Grupo,Equivalentes (AGE),TSG
CÂMPUS SEROPÉDICA,Engenharia Química,2,ENG 0,0820,I,400,387,37,32,69,14,16,30,50,55,105,5,1,08,211,09,2,00,422,18,0,29
CÂMPUS SEROPÉDICA,Farmácia,37,CS3 0,0660,I,264,254,18,25,43,14,16,30,30,32,62,5,1,07,176,15,2,00,352,30,0,46
CÂMPUS SEROPÉDICA,Filosofia,30,CH 0,1000,N,113,102,30,0,30,2,9,11,0,44,44,4,1,10,67,40,1,00,67,40,0,25
CÂMPUS SEROPÉDICA,Física,18,CET 0,1125,I,127,126,9,10,19,3,5,8,33,27,60,4,1,13,47,24,2,00,94,48,0,13
CÂMPUS SEROPÉDICA,Geografia,32,CET 0,1125,V,142,135,31,0,31,5,19,24,0,38,38,4,1,13,115,72,2,00,231,44,0,63
CÂMPUS SEROPÉDICA,Geologia,4,CET 0,1125,I,177,157,31,0,31,9,14,23,0,40,40,4,1,13,112,19,2,00,224,38,0,58
CÂMPUS SEROPÉDICA,História,26,CH 0,1000,N,7,7,0,0,0,0,1,1,61,0,61,4,1,10,3,40,1,00,3,40,0,00
CÂMPUS SEROPÉDICA,História,31,CH 0,1000,V,423,431,50,32,82,21,26,47,0,56,56,4,1,10,241,80,1,00,241,80,0,84
CÂMPUS SEROPÉDICA,Hotelaria,48,CSA 0,1200,N,172,165,18,16,34,15,6,21,32,28,60,4,1,12,107,08,1,00,107,08,0,35
CÂMPUS SEROPÉDICA,Letras - Português,28,LL 0,1150,N,179,167,16,25,41,15,13,28,27,24,51,4,1,12,137,88,1,00,137,88,0,55
CÂMPUS SEROPÉDICA,Letras - Português / Inglês,29,LL 0,1150,N,162,166,19,11,30,13,16,29,22,50,4,1,12,130,34,1,00,130,34,0,58
CÂMPUS SEROPÉDICA,Matemática,19,CET 0,1125,I,243,241,33,19,52,10,18,28,44,57,101,4,1,13,150,84,1,50,226,26,0,28
CÂMPUS SEROPÉDICA,Medicina Veterinária,6,CS2 0,0650,I,732,728,61,62,123,55,50,105,67,76,143,5,1,07,581,63,4,50,2617,31,0,73
CÂMPUS SEROPÉDICA,Pedagogia,27,CH 0,1000,N,155,142,29,0,29,11,12,23,0,38,38,4,1,10,107,20,1,00,107,20,0,61
CÂMPUS SEROPÉDICA,Psicologia,38,CH1 0,1000,I,191,227,0,40,40,14,15,29,45,0,45,5,1,10,173,25,1,00,173,25,0,64
CÂMPUS SEROPÉDICA,Química,20,CET 0,1125,I,145,134,29,0,29,3,8,11,0,73,73,4,1,13,67,83,2,00,135,66,0,15
CÂMPUS SEROPÉDICA,Química,64,CET 0,1125,N,123,92,26,0,26,3,4,7,0,1,1,4,1,13,50,71,2,00,101,42,7,00
CÂMPUS SEROPÉDICA,Relações Internacionais,49,CSA 0,1200,I,302,260,42,0,42,25,26,51,40,56,96,4,1,12,219,48,1,00,219,48,0,53
CÂMPUS SEROPÉDICA,Serviço Social,40,CSA 0,1200,N,134,150,0,35,35,18,10,28,41,0,41,4,1,12,132,44,1,00,132,44,0,68
CÂMPUS SEROPÉDICA,Sistemas de Informação,39,CE2 0,1125,V,154,133,25,0,25,5,6,11,0,29,29,4,1,13,63,83,1,50,95,75,0,38
