"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";"OBJETO DA LICITAÇÃO";
"18/01/2024";"27/12/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00080/2023";"Objeto: Pregão Eletrônico -  Aquisição de Estações de Trabalho (Workstations) e Notebooks.";
"30/01/2024";"23/10/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00072/2023";"Objeto: Pregão Eletrônico -  Contratação de pessoa jurídica para a prestação de serviços de apoio administrativo e operacional, de forma contínua, com regime de dedicação exclusiva de mão de obra especializada com fornecimento de uniforme e equipamento de proteção individual, nas dependências dos Restaurantes Universitários dos Campus Nova Iguaçu e Seropédica da Universidade Federal Rural do Rio de Janeiro   UFRRJ.";
"03/01/2024";"09/11/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00079/2023";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada na prestação de serviços continuados de apoio operacional de campo, de conservação e de manutenção de áreas verdes, dos bens móveis e imóveis da Universidade Federal Rural do Rio de Janeiro com fornecimento e manutenção de todos os equipamentos, insumos, ferramentas, uniformes e equipamentos de proteção individual necessários e adequados à execução do serviço para atender a UFRRJ.";
"18/01/2024";"13/12/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00081/2023";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada no preparo e distribuição de refeições (café da manhã, almoço e jantar dos tipos padrão normal e vegana) associada à concessão administrativa onerosa de uso de espaço físico do imóvel denominado Restaurante Universitário (RU) da Universidade Federal Rural do Rio de Janeiro (UFRRJ), com a cessão de uso dos utensílios e equipamentos de propriedade da UFRRJ durante a execução dos serviços, Campus de Seropédica.";
