"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";"OBJETO DA LICITAÇÃO";
"18/05/2023";"16/05/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00001/2023";"Objeto: Pregão Eletrônico -  Aquisição de maravalha.";
"14/06/2023";"15/03/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Contrato";"00053/2023";"Objeto: Pregão Eletrônico -  Contratação de solução de Tecnologia da Informação e Comunicação e aquisição de equipamentos de Videomonitoramento.";
"21/11/2023";"13/11/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00010/2023";"Objeto: Pregão Eletrônico -  Aquisição de animais para pesquisa e abate.";
"08/02/2023";"17/10/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00003/2022";"Objeto: Pregão Eletrônico -  Materiais de copa e cozinha";
"11/07/2023";"25/05/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00002/2023";"Objeto: Pregão Eletrônico -  Aquisição de Sementes, mudas e adubos.";
"21/11/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Dispensa de Licitação";"Contrato";"00006/2023";"Objeto: Contratação de empresa especializada na prestação de serviços de emissão de certificados digitais.";
"05/06/2023";"09/05/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00034/2023";"Objeto: Pregão Eletrônico -  Aquisição de gêneros de alimentação   Estocáveis.";
"01/12/2023";"16/11/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00017/2023";"Objeto: Pregão Eletrônico -  Aquisição de materiais e medicamentos de uso veterinário.";
"28/03/2023";"31/01/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00034/2022";"Objeto: Pregão Eletrônico -  Aquisição de material químico.";
"22/08/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00018/2023";"Objeto: Pagamento de inscrição de 01 servidor em curso de capacitação.";
"05/07/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00011/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"13/11/2023";"09/11/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00065/2023";"Objeto: Pregão Eletrônico -  Aquisição de maravalha de pinus.";
"17/04/2023";"13/04/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00031/2023";"Objeto: Pregão Eletrônico -  Aquisição de água e acondicionamento.";
"19/05/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Revogação";"Inexigibilidade de Licitação";"Sem informação";"00006/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"05/10/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00025/2023";"Objeto: Pagamento de inscrição 01 (uma) servidora  em curso de capacitação.";
"15/03/2023";"17/11/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00086/2022";"Objeto: Pregão Eletrônico -  Aquisição de equipamentos de laboratório.";
"26/12/2023";"07/12/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00074/2023";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico para exploração de serviços de lanchonete, por meio de Trailer fixo (tipo conteiner), Trailer móvel ou Food Truck, a ser instalado no Campus da UFRRJ em Seropédica.";
"13/12/2023";"29/11/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00048/2023";"Objeto: Pregão Eletrônico -  Aquisição de material químico controlado.";
"14/02/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Contrato";"00001/2023";"Objeto: Contratação de serviço de fornecimento de energia elétrica para a UFRRJ -Campus Campos dos Goytacazes, conforme condições, quantidades e exigências estabelecidas neste instrumento e seus anexos.";
"05/04/2023";"06/03/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Adiamento Publicado";"Pregão";"Contrato";"00092/2022";"Objeto: Pregão Eletrônico -  Contratação de Serviço de coleta, transporte, tratamento e destinação final de resíduos químicos e lâmpadas fluorescentes, de vapor de sódio e mercúrio e de luz mista.";
"01/12/2023";"29/11/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00006/2023";"Objeto: Pregão Eletrônico -  Aquisição de material de proteção e segurança.";
"17/05/2023";"16/05/2023";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00020/2023";"Objeto: Pregão Eletrônico -  Aquisição gás liquefeito de petróleo (GLP).";
"14/08/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00015/2023";"Objeto: Pagamento de inscrição 01 (um) servidor em curso de capacitação.";
"15/06/2023";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00008/2023";"Objeto: Pagamento de inscrição 01 (uma) servidora em curso de capacitação.";
