"Mês Ano";"Órgão Superior";"Órgão/Entidade Vinculada";"Valor Empenhado";"Valor Liquidado";"Valor Pago";"Valor Restos a Pagar Pagos";
"10/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"636.326,84";"53.733.468,51";"54.556.911,61";"851.181,83";
"02/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"6.295.154,47";"49.666.704,75";"49.102.684,52";"3.150.553,06";
"07/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"8.453.611,93";"55.042.502,85";"67.381.406,02";"2.390.866,67";
"12/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"19.718.948,20";"76.005.666,72";"71.058.760,28";"1.756.919,84";
"03/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"4.461.450,19";"50.158.297,66";"49.533.100,33";"5.648.439,72";
"09/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"674.195,06";"56.345.230,12";"57.095.913,72";"2.595.003,14";
"05/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"8.468.221,78";"54.093.535,06";"55.068.871,37";"4.539.250,23";
"08/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"15.682.835,74";"63.499.588,64";"61.964.601,10";"670.419,83";
"06/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"3.841.597,32";"68.147.711,92";"54.988.311,25";"5.172.866,39";
"04/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"16.642.963,02";"53.947.351,73";"50.675.203,65";"5.254.719,72";
"01/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"651.183.799,68";"42.776.421,60";"9.701.301,03";"58.752.521,35";
"11/2022";"26000 - Ministério da Educação";"26249 - Universidade Federal Rural do Rio de Janeiro";"14.114.058,48";"77.822.824,19";"62.841.169,27";"954.226,72";
