"DATA DE RESULTADO DA COMPRA";"DATA DE ABERTURA";"ORGÃO SUPERIOR LICITANTE";"ÓRGÃO / ENTIDADE VINCULADA LICITANTE";"UNIDADE GESTORA";"SITUAÇÃO";"MODALIDADE DA LICITAÇÃO";"INSTRUMENTO LEGAL DE CONTRATAÇÃO";"NÚMERO DA LICITAÇÃO";"OBJETO DA LICITAÇÃO";
"28/10/2022";"27/10/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Evento de Suspensão Publicado";"Pregão - Registro de Preço";"Sem informação";"00076/2022";"Objeto: Pregão Eletrônico -  Aquisição de gases especiais.";
"29/09/2022";"27/09/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00059/2022";"Objeto: Pregão Eletrônico -  Aquisição de mobiliários em geral.";
"05/09/2022";"19/08/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00005/2022";"Objeto: Pregão Eletrônico -  Aquisição de uniformes, tecidos e aviamentos.";
"13/06/2022";"Sem informação";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Encerrado";"Inexigibilidade de Licitação";"Sem informação";"00006/2022";"Objeto: Pagamento de inscrição de 01 servidor em curso de capacitação.";
"10/01/2022";"21/12/2021";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00063/2021";"Objeto: Pregão Eletrônico -  Contratação de empresa especializada para prestação de serviços de fornecimento de refeições prontas transportadas em caixas térmicas gastronômicas do tipo  hot-box  (almoço e jantar).";
"29/07/2022";"22/07/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00065/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico, a  título oneroso, destinado à prestação de serviço de restaurante e  lanchonete, nas dependências do Instituto de Ciências Humanas e Sociais (ICHS) da UFRRJ.";
"04/11/2022";"12/09/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00031/2022";"Objeto: Pregão Eletrônico -  Aquisição de material de aparelho de medição e orientação.";
"20/06/2022";"15/06/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00038/2022";"Objeto: Pregão Eletrônico -  Aquisição de Maravalha de Pinus.";
"10/11/2022";"09/11/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão";"Contrato";"00078/2022";"Objeto: Pregão Eletrônico -  Concessão administrativa de uso de espaço físico, a título oneroso, destinado à prestação de serviço de lanchonete, localizado das dependências do Departamento de Esportes e Lazer, no campus da UFRRJ.";
"13/05/2022";"12/04/2022";"Ministério da Educação";"Universidade Federal Rural do Rio de Janeiro";"UNIVERSIDADE FEDERAL RURAL DO RIO DE JANEIRO";"Publicado";"Pregão - Registro de Preço";"Sem informação";"00035/2022";"Objeto: Pregão Eletrônico -  Aquisição de gêneros alimentícios (estocáveis).";
